atomic_no,name,symbol,block,atomic_mass,nn,np,ne,period,group,phase,radioactive,natural,metal,non_metal,metalloid,type,atomic_radius,electronegativity,first_ionization,density,melting_point,boiling_point,isotrops,discoverer,year,specific_heat,shells,valence
1,Hydrogen,H,s,1.01,0,1,1,1,1,gas,FALSE,TRUE,FALSE,TRUE,FALSE,Other Non Metal,0.79,2.2,13.5984,0.0000899,14.175,20.28,3,Cavendish,1766,14.304,1,1
2,Helium,He,s,4,2,2,2,1,18,gas,FALSE,TRUE,FALSE,TRUE,FALSE,Noble Gas,0.49,-1,24.5874,0.000179,-1,4.22,5,Janssen,1868,5.193,1,-1
3,Lithium,Li,s,6.94,4,3,3,2,1,gas,FALSE,TRUE,TRUE,FALSE,FALSE,Alkali Metal,2.1,0.98,5.3917,0.534,453.85,1615,5,Arfvedson,1817,3.582,2,1
4,Beryllium,Be,s,9.01,5,4,4,2,2,gas,FALSE,TRUE,TRUE,FALSE,FALSE,Alkaline Earth Metal,1.4,1.57,9.3227,1.85,1560.15,2742,6,Vaulquelin,1798,1.825,2,2
5,Boron,B,p,10.81,6,5,5,2,13,gas,FALSE,TRUE,FALSE,FALSE,TRUE,Metalloid,1.2,2.04,8.298,2.34,2573.15,4200,6,Gay-Lussac,1808,1.026,2,3
6,Carbon,C,p,12.01,6,6,6,2,14,gas,FALSE,TRUE,FALSE,TRUE,FALSE,Other Non Metal,0.91,2.55,11.2603,2.27,3948.15,4300,7,Prehistoric,0,0.709,2,4
7,Nitrogen,N,p,14.01,7,7,7,2,15,gas,FALSE,TRUE,FALSE,TRUE,FALSE,Other Non Metal,0.75,3.04,14.5341,0.00125,63.29,77.36,8,Rutherford,1772,1.04,2,5
8,Oxygen,O,p,16,8,8,8,2,16,gas,FALSE,TRUE,FALSE,TRUE,FALSE,Other Non Metal,0.65,3.44,13.6181,0.00143,50.5,90.2,8,Priestley/Scheele,1774,0.918,2,6
9,Fluorine,F,p,19,10,9,9,2,17,gas,FALSE,TRUE,FALSE,TRUE,FALSE,Halogen,0.57,3.98,17.4228,0.0017,53.63,85.03,6,Moissan,1886,0.824,2,7
10,Neon,Ne,p,20.18,10,10,10,2,18,gas,FALSE,TRUE,FALSE,TRUE,FALSE,Noble Gas,0.51,-1,21.5645,0.0009,24.703,27.07,8,Ramsay and Travers,1898,1.03,2,8
11,Sodium,Na,s,22.99,12,11,11,3,1,gas,FALSE,TRUE,TRUE,FALSE,FALSE,Alkali Metal,2.2,0.93,5.1391,0.971,371.15,1156,7,Davy,1807,1.228,3,1
12,Magnesium,Mg,s,24.31,12,12,12,3,2,gas,FALSE,TRUE,TRUE,FALSE,FALSE,Alkaline Earth Metal,1.7,1.31,7.6462,1.74,923.15,1363,8,Black,1755,1.023,3,2
13,Aluminum,Al,p,26.98,14,13,13,3,13,solid,FALSE,TRUE,TRUE,FALSE,FALSE,Post Transition Metal,1.8,1.61,5.9858,2.7,933.4,2792,8,Wshler,1827,0.897,3,3
14,Silicon,Si,p,28.09,14,14,14,3,14,solid,FALSE,TRUE,FALSE,FALSE,TRUE,Metalloid,1.5,1.9,8.1517,2.33,1683.15,3538,8,Berzelius,1824,0.705,3,4
15,Phosphorus,P,p,30.97,16,15,15,3,15,solid,FALSE,TRUE,FALSE,TRUE,FALSE,Other Non Metal,1.2,2.19,10.4867,1.82,317.25,553,7,BranBrand,1669,0.769,3,5
16,Sulfur,S,p,32.07,16,16,16,3,16,solid,FALSE,TRUE,FALSE,TRUE,FALSE,Other Non Metal,1.1,2.58,10.36,2.07,388.51,717.8,10,Prehistoric,0,0.71,3,6
