AtomicNumber,Element,Symbol,Block,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Period,Group,Phase,Radioactive,Natural,Metal,Nonmetal,Metalloid,Type,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,NumberOfIsotopes,Discoverer,Year,SpecificHeat,NumberofShells,NumberofValence
1,Hydrogen,H,s,1.007,0,1,1,1,1,gas,False,True,False,True,False,Nonmetal,0.79,2.2,13.5984,8.99e-05,14.175,20.28,3.0,Cavendish,1766.0,14.304,1,1.0
2,Helium,He,s,4.002,2,2,2,1,18,gas,False,True,False,True,False,Noble_Gas,0.49,-1.0,24.5874,0.000179,-1.0,4.22,5.0,Janssen,1868.0,5.193,1,-1.0
3,Lithium,Li,s,6.941,4,3,3,2,1,solid,False,True,True,False,False,Alkali_Metal,2.1,0.98,5.3917,0.534,453.85,1615.0,5.0,Arfvedson,1817.0,3.582,2,1.0
4,Beryllium,Be,s,9.012,5,4,4,2,2,solid,False,True,True,False,False,Alkaline_Earth_Metal,1.4,1.57,9.3227,1.85,1560.15,2742.0,6.0,Vaulquelin,1798.0,1.825,2,2.0
5,Boron,B,p,10.811,6,5,5,2,13,solid,False,True,False,False,True,Metalloid,1.2,2.04,8.298,2.34,2573.15,4200.0,6.0,Gay-Lussac,1808.0,1.026,2,3.0
6,Carbon,C,p,12.011,6,6,6,2,14,solid,False,True,False,True,False,Nonmetal,0.91,2.55,11.2603,2.27,3948.15,4300.0,7.0,Prehistoric,0.0,0.709,2,4.0
7,Nitrogen,N,p,14.007,7,7,7,2,15,gas,False,True,False,True,False,Nonmetal,0.75,3.04,14.5341,0.00125,63.29,77.36,8.0,Rutherford,1772.0,1.04,2,5.0
8,Oxygen,O,p,15.999,8,8,8,2,16,gas,False,True,False,True,False,Nonmetal,0.65,3.44,13.6181,0.00143,50.5,90.2,8.0,Priestley/Scheele,1774.0,0.918,2,6.0
9,Fluorine,F,p,18.998,10,9,9,2,17,gas,False,True,False,True,False,Halogen,0.57,3.98,17.4228,0.0017,53.63,85.03,6.0,Moissan,1886.0,0.824,2,7.0
10,Neon,Ne,p,20.18,10,10,10,2,18,gas,False,True,False,True,False,Noble_Gas,0.51,-1.0,21.5645,0.0009,24.703,27.07,8.0,Ramsay and Travers,1898.0,1.03,2,8.0
11,Sodium,Na,s,22.99,12,11,11,3,1,solid,False,True,True,False,False,Alkali_Metal,2.2,0.93,5.1391,0.971,371.15,1156.0,7.0,Davy,1807.0,1.228,3,1.0
12,Magnesium,Mg,s,24.305,12,12,12,3,2,solid,False,True,True,False,False,Alkaline_Earth_Metal,1.7,1.31,7.6462,1.74,923.15,1363.0,8.0,Black,1755.0,1.023,3,2.0
13,Aluminum,Al,p,26.982,14,13,13,3,13,solid,False,True,True,False,False,Metal,1.8,1.61,5.9858,2.7,933.4,2792.0,8.0,Wshler,1827.0,0.897,3,3.0
14,Silicon,Si,p,28.086,14,14,14,3,14,solid,False,True,False,False,True,Metalloid,1.5,1.9,8.1517,2.33,1683.15,3538.0,8.0,Berzelius,1824.0,0.705,3,4.0
15,Phosphorus,P,p,30.974,16,15,15,3,15,solid,False,True,False,True,False,Nonmetal,1.2,2.19,10.4867,1.82,317.25,553.0,7.0,BranBrand,1669.0,0.769,3,5.0
16,Sulfur,S,p,32.065,16,16,16,3,16,solid,False,True,False,True,False,Nonmetal,1.1,2.58,10.36,2.07,388.51,717.8,10.0,Prehistoric,0.0,0.71,3,6.0
17,Chlorine,Cl,p,35.453,18,17,17,3,17,gas,False,True,False,True,False,Halogen,0.97,3.16,12.9676,0.00321,172.31,239.11,11.0,Scheele,1774.0,0.479,3,7.0
18,Argon,Ar,p,39.948,22,18,18,3,18,gas,False,True,False,True,False,Noble_Gas,0.88,-1.0,15.7596,0.00178,83.96,87.3,8.0,Rayleigh and Ramsay,1894.0,0.52,3,8.0
19,Potassium,K,s,39.098,20,19,19,4,1,solid,False,True,True,False,False,Alkali_Metal,2.8,0.82,4.3407,0.862,336.5,1032.0,10.0,Davy,1807.0,0.757,4,1.0
20,Calcium,Ca,s,40.078,20,20,20,4,2,solid,False,True,True,False,False,Alkaline_Earth_Metal,2.2,1.0,6.1132,1.54,1112.15,1757.0,14.0,Davy,1808.0,0.647,4,2.0
21,Scandium,Sc,d,44.956,24,21,21,4,3,solid,False,True,True,False,False,Transition_Metal,2.1,1.36,6.5615,2.99,1812.15,3109.0,15.0,Nilson,1878.0,0.568,4,-1.0
22,Titanium,Ti,d,47.867,26,22,22,4,4,solid,False,True,True,False,False,Transition_Metal,2.0,1.54,6.8281,4.54,1933.15,3560.0,9.0,Gregor,1791.0,0.523,4,-1.0
23,Vanadium,V,d,50.942,28,23,23,4,5,solid,False,True,True,False,False,Transition_Metal,1.9,1.63,6.7462,6.11,2175.15,3680.0,9.0,   del Rio,1801.0,0.489,4,-1.0
24,Chromium,Cr,d,51.996,28,24,24,4,6,solid,False,True,True,False,False,Transition_Metal,1.9,1.66,6.7665,7.15,2130.15,2944.0,9.0,Vauquelin,1797.0,0.449,4,-1.0
